Round,Date,Team 1,Team 2,FT,HT
-,-,Rochdale,Tranmere Rovers,4-2,-
-,-,Scunthorpe United,Tranmere Rovers,2-1,-
-,-,Stockport County,Tranmere Rovers,3-2,-
-,-,Swindon Town,Tranmere Rovers,4-2,-
-,-,Torquay United,Tranmere Rovers,3-0,-
-,-,Wimbledon,Tranmere Rovers,4-0,-
-,-,York City,Tranmere Rovers,2-1,-
-,-,Aldershot,Wimbledon,1-1,-
-,-,Blackpool,Wimbledon,1-1,-
-,-,Bristol City,Wimbledon,4-2,-
-,-,Bury,Wimbledon,1-3,-
-,-,Chester,Wimbledon,1-2,-
-,-,Colchester United,Wimbledon,3-0,-
-,-,Crewe Alexandra,Wimbledon,0-2,-
-,-,Darlington,Wimbledon,0-2,-
-,-,Halifax Town,Wimbledon,1-1,-
-,-,Hartlepool United,Wimbledon,1-0,-
-,-,Hereford United,Wimbledon,1-4,-
-,-,Hull City,Wimbledon,1-1,-
-,-,Mansfield Town,Wimbledon,2-2,-
-,-,Northampton Town,Wimbledon,2-2,-
-,-,Peterborough United,Wimbledon,0-3,-
-,-,Port Vale,Wimbledon,1-0,-
-,-,Rochdale,Wimbledon,0-2,-
-,-,Scunthorpe United,Wimbledon,0-0,-
-,-,Stockport County,Wimbledon,1-3,-
-,-,Swindon Town,Wimbledon,0-1,-
-,-,Torquay United,Wimbledon,0-1,-
-,-,Tranmere Rovers,Wimbledon,0-2,-
-,-,York City,Wimbledon,1-4,-
-,-,Aldershot,York City,2-3,-
-,-,Blackpool,York City,1-1,-
-,-,Bristol City,York City,2-2,-
-,-,Bury,York City,2-1,-
-,-,Chester,York City,0-1,-
-,-,Colchester United,York City,0-0,-
-,-,Crewe Alexandra,York City,2-1,-
-,-,Darlington,York City,1-3,-
-,-,Halifax Town,York City,2-2,-
-,-,Hartlepool United,York City,2-0,-
-,-,Hereford United,York City,0-0,-
-,-,Hull City,York City,4-0,-
-,-,Mansfield Town,York City,2-2,-
-,-,Northampton Town,York City,1-1,-
-,-,Peterborough United,York City,2-2,-
-,-,Port Vale,York City,2-1,-
-,-,Rochdale,York City,1-0,-
-,-,Scunthorpe United,York City,0-0,-
-,-,Stockport County,York City,2-1,-
-,-,Swindon Town,York City,3-2,-
-,-,Torquay United,York City,1-3,-
-,-,Tranmere Rovers,York City,3-0,-
-,-,Wimbledon,York City,4-3,-
