Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 2 Oct 1937 (39),Hull City (20),3-1,?,Gateshead FC (32)
?,(Sat) 29 Jan 1938 (4),Hull City (21),0-1,?,Halifax Town (32)
?,(Sat) 15 Jan 1938 (2),Hull City (22),4-0,?,Hartlepool United (32)
?,(Sat) 11 Sep 1937 (36),Hull City (23),1-1,?,Lincoln City (12)
?,(Sat) 5 Feb 1938 (5),Hull City (24),1-1,?,New Brighton (12)
?,(Sat) 19 Feb 1938 (7),Hull City (25),4-1,?,Oldham Athletic (12)
?,(Mon) 18 Apr 1938 (16),Hull City (26),0-0,?,Port Vale FC (12)
?,(Sat) 13 Nov 1937 (45),Hull City (27),4-1,?,Rochdale AFC (12)
?,(Sat) 19 Mar 1938 (11),Hull City (28),1-1,?,Rotherham United (12)
?,(Thu) 13 Jan 1938 (2),Hull City (29),10-1,?,Southport FC (12)
?,(Sat) 30 Apr 1938 (17),Hull City (30),0-1,?,Tranmere Rovers (12)
?,(Sat) 28 Aug 1937 (34),Hull City (31),3-2,?,Wrexham AFC (12)
?,(Mon) 25 Apr 1938 (17),Hull City (32),3-1,?,York City (12)
?,(Sat) 16 Oct 1937 (41),Lincoln City (13),2-0,?,Accrington Stanley (33)
?,(Mon) 13 Sep 1937 (37),Lincoln City (14),5-0,?,Barrow AFC (33)
?,(Wed) 26 Jan 1938 (4),Lincoln City (15),4-0,?,Bradford City (33)
?,(Sat) 15 Jan 1938 (2),Lincoln City (16),0-1,?,Carlisle United (33)
?,(Sat) 5 Mar 1938 (9),Lincoln City (17),1-1,?,Chester FC (33)
?,(Mon) 18 Apr 1938 (16),Lincoln City (18),3-2,?,Crewe Alexandra (33)
?,(Sat) 19 Feb 1938 (7),Lincoln City (19),0-0,?,Darlington FC (33)
?,(Sat) 13 Nov 1937 (45),Lincoln City (20),2-2,?,Doncaster Rovers (33)
?,(Sat) 5 Feb 1938 (5),Lincoln City (21),3-2,?,Gateshead FC (33)
?,(Sat) 30 Apr 1938 (17),Lincoln City (22),2-0,?,Halifax Town (33)
?,(Sat) 28 Aug 1937 (34),Lincoln City (23),2-1,?,Hartlepool United (33)
?,(Sat) 22 Jan 1938 (3),Lincoln City (24),2-1,?,Hull City (33)
?,(Sat) 18 Sep 1937 (37),Lincoln City (25),4-1,?,New Brighton (13)
?,(Sat) 2 Oct 1937 (39),Lincoln City (26),0-1,?,Oldham Athletic (13)
?,(Mon) 27 Dec 1937 (52),Lincoln City (27),1-0,?,Port Vale FC (13)
?,(Sat) 19 Mar 1938 (11),Lincoln City (28),2-0,?,Rochdale AFC (13)
?,(Sat) 30 Oct 1937 (43),Lincoln City (29),5-0,?,Rotherham United (13)
?,(Sat) 2 Apr 1938 (13),Lincoln City (30),1-3,?,Southport FC (13)
?,(Mon) 2 May 1938 (18),Lincoln City (31),0-1,?,Tranmere Rovers (13)
?,(Mon) 6 Sep 1937 (36),Lincoln City (32),7-1,?,Wrexham AFC (13)
?,(Sat) 16 Apr 1938 (15),Lincoln City (33),2-0,?,York City (13)
?,(Sat) 30 Oct 1937 (43),New Brighton (14),2-1,?,Accrington Stanley (34)
?,(Sat) 28 Aug 1937 (34),New Brighton (15),2-1,?,Barrow AFC (34)
?,(Mon) 11 Apr 1938 (15),New Brighton (16),1-1,?,Bradford City (34)
?,(Sat) 5 Mar 1938 (9),New Brighton (17),5-1,?,Carlisle United (34)
?,(Sat) 19 Mar 1938 (11),New Brighton (18),4-0,?,Chester FC (34)
?,(Wed) 8 Sep 1937 (36),New Brighton (19),4-0,?,Crewe Alexandra (34)
?,(Fri) 15 Apr 1938 (15),New Brighton (20),3-0,?,Darlington FC (34)
?,(Wed) 12 Jan 1938 (2),New Brighton (21),1-2,?,Doncaster Rovers (34)
?,(Sat) 19 Feb 1938 (7),New Brighton (22),4-1,?,Gateshead FC (34)
?,(Sat) 16 Oct 1937 (41),New Brighton (23),2-0,?,Halifax Town (34)
?,(Sat) 11 Sep 1937 (36),New Brighton (24),4-1,?,Hartlepool United (34)
?,(Sat) 25 Sep 1937 (38),New Brighton (25),0-0,?,Hull City (34)
?,(Sat) 29 Jan 1938 (4),New Brighton (26),0-1,?,Lincoln City (34)
?,(Wed) 4 May 1938 (18),New Brighton (27),1-0,?,Oldham Athletic (14)
?,(Sat) 7 May 1938 (18),New Brighton (28),1-1,?,Port Vale FC (14)
?,(Sat) 2 Apr 1938 (13),New Brighton (29),2-0,?,Rochdale AFC (14)
?,(Sat) 13 Nov 1937 (45),New Brighton (30),2-3,?,Rotherham United (14)
?,(Sat) 16 Apr 1938 (15),New Brighton (31),2-2,?,Southport FC (14)
?,(Sat) 12 Feb 1938 (6),New Brighton (32),0-1,?,Tranmere Rovers (14)
?,(Sat) 15 Jan 1938 (2),New Brighton (33),1-1,?,Wrexham AFC (14)
?,(Sat) 30 Apr 1938 (17),New Brighton (34),2-1,?,York City (14)
?,(Sat) 13 Nov 1937 (45),Oldham Athletic (15),1-0,?,Accrington Stanley (35)
?,(Sat) 11 Sep 1937 (36),Oldham Athletic (16),0-0,?,Barrow AFC (35)
?,(Sat) 7 May 1938 (18),Oldham Athletic (17),1-2,?,Bradford City (35)
?,(Sat) 19 Mar 1938 (11),Oldham Athletic (18),3-0,?,Carlisle United (35)
?,(Sat) 11 Dec 1937 (49),Oldham Athletic (19),3-2,?,Chester FC (35)
?,(Sat) 15 Jan 1938 (2),Oldham Athletic (20),0-0,?,Crewe Alexandra (35)
?,(Mon) 6 Sep 1937 (36),Oldham Athletic (21),3-0,?,Darlington FC (35)
?,(Tue) 1 Feb 1938 (5),Oldham Athletic (22),2-1,?,Doncaster Rovers (35)
