Date,Team 1,Team 2,FT
-,Cardiff City,Tottenham Hotspur,1-2
-,Charlton Athletic,Tottenham Hotspur,1-2
-,Chelsea,Tottenham Hotspur,2-1
-,Everton,Tottenham Hotspur,1-0
-,Huddersfield Town,Tottenham Hotspur,1-0
-,Leicester City,Tottenham Hotspur,2-0
-,Manchester City,Tottenham Hotspur,0-0
-,Manchester United,Tottenham Hotspur,2-1
-,Newcastle United,Tottenham Hotspur,4-4
-,Portsmouth,Tottenham Hotspur,0-3
-,Preston North End,Tottenham Hotspur,1-0
-,Sheffield United,Tottenham Hotspur,4-1
-,Sheffield Wednesday,Tottenham Hotspur,2-2
-,Sunderland,Tottenham Hotspur,1-1
-,West Bromwich Albion,Tottenham Hotspur,1-2
-,Wolverhampton Wanderers,Tottenham Hotspur,4-2
-,Arsenal,West Bromwich Albion,2-2
-,Aston Villa,West Bromwich Albion,3-0
-,Blackpool,West Bromwich Albion,3-1
-,Bolton Wanderers,West Bromwich Albion,2-4
-,Burnley,West Bromwich Albion,0-2
-,Cardiff City,West Bromwich Albion,3-2
-,Charlton Athletic,West Bromwich Albion,1-3
-,Chelsea,West Bromwich Albion,3-3
-,Everton,West Bromwich Albion,1-2
-,Huddersfield Town,West Bromwich Albion,3-3
-,Leicester City,West Bromwich Albion,6-3
-,Manchester City,West Bromwich Albion,4-0
-,Manchester United,West Bromwich Albion,3-0
-,Newcastle United,West Bromwich Albion,3-0
-,Portsmouth,West Bromwich Albion,6-1
-,Preston North End,West Bromwich Albion,3-1
-,Sheffield United,West Bromwich Albion,1-2
-,Sheffield Wednesday,West Bromwich Albion,5-0
-,Sunderland,West Bromwich Albion,4-2
-,Tottenham Hotspur,West Bromwich Albion,3-1
-,Wolverhampton Wanderers,West Bromwich Albion,4-0
-,Arsenal,Wolverhampton Wanderers,1-1
-,Aston Villa,Wolverhampton Wanderers,4-2
-,Blackpool,Wolverhampton Wanderers,0-2
-,Bolton Wanderers,Wolverhampton Wanderers,6-1
-,Burnley,Wolverhampton Wanderers,1-0
-,Cardiff City,Wolverhampton Wanderers,3-2
-,Charlton Athletic,Wolverhampton Wanderers,1-3
-,Chelsea,Wolverhampton Wanderers,1-0
-,Everton,Wolverhampton Wanderers,3-2
-,Huddersfield Town,Wolverhampton Wanderers,2-0
-,Leicester City,Wolverhampton Wanderers,1-2
-,Manchester City,Wolverhampton Wanderers,3-0
-,Manchester United,Wolverhampton Wanderers,2-4
-,Newcastle United,Wolverhampton Wanderers,2-3
-,Portsmouth,Wolverhampton Wanderers,0-0
-,Preston North End,Wolverhampton Wanderers,3-3
-,Sheffield United,Wolverhampton Wanderers,1-2
-,Sheffield Wednesday,Wolverhampton Wanderers,2-2
-,Sunderland,Wolverhampton Wanderers,0-0
-,Tottenham Hotspur,Wolverhampton Wanderers,3-2
-,West Bromwich Albion,Wolverhampton Wanderers,1-0
